 ,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Region,Country,State,City,Postal Code,Product ID,Segment,Category,Sub-Category,Product Name,Quantity,Sales,Discount,Profit
1,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,South,United States,Kentucky,Henderson,42420,FUR-BO-10001798,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase,2,261.96,0,41.9136
2,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,South,United States,Kentucky,Henderson,42420,FUR-CH-10000454,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3,731.94,0,219.582
3,CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,Darrin Van Huff,West,United States,California,Los Angeles,90036,OFF-LA-10000240,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,2,14.62,0,6.8714
4,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,South,United States,Florida,Fort Lauderdale,33311,FUR-TA-10000577,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,5,957.5775,0.45,-383.031
5,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,South,United States,Florida,Fort Lauderdale,33311,OFF-ST-10000760,Consumer,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,2,22.368,0.2,2.5164
6,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,West,United States,California,Los Angeles,90032,FUR-FU-10001487,Consumer,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",7,48.86,0,14.1694
7,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,West,United States,California,Los Angeles,90032,OFF-AR-10002833,Consumer,Office Supplies,Art,Newell 322,4,7.28,0,1.9656
8,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,West,United States,California,Los Angeles,90032,TEC-PH-10002275,Consumer,Technology,Phones,Mitel 5320 IP Phone VoIP phone,6,907.152,0.2,90.7152
9,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,West,United States,California,Los Angeles,90032,OFF-BI-10003910,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,3,18.504,0.2,5.7825
10,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,West,United States,California,Los Angeles,90032,OFF-AP-10002892,Consumer,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,5,114.9,0,34.47
11,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,West,United States,California,Los Angeles,90032,FUR-TA-10001539,Consumer,Furniture,Tables,Chromcraft Rectangular Conference Tables,9,1706.184,0.2,85.3092
12,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,West,United States,California,Los Angeles,90032,TEC-PH-10002033,Consumer,Technology,Phones,Konftel 250 Conference phone - Charcoal black,4,911.424,0.2,68.3568
13,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Andrew Allen,South,United States,North Carolina,Concord,28027,OFF-PA-10002365,Consumer,Office Supplies,Paper,Xerox 1967,3,15.552,0.2,5.4432
14,CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Irene Maddox,West,United States,Washington,Seattle,98103,OFF-BI-10003656,Consumer,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,3,407.976,0.2,132.5922
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Central,United States,Texas,Fort Worth,76106,OFF-AP-10002311,Home Office,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",5,68.81,0.8,-123.858
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Central,United States,Texas,Fort Worth,76106,OFF-BI-10000756,Home Office,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,3,2.544,0.8,-3.816
17,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Pete Kriz,Central,United States,Wisconsin,Madison,53711,OFF-ST-10004186,Consumer,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",6,665.88,0,13.3176
18,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Alejandro Grove,West,United States,Utah,West Jordan,84084,OFF-ST-10000107,Consumer,Office Supplies,Storage,Fellowes Super Stor/Drawer,2,55.5,0,9.99
19,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,West,United States,California,San Francisco,94109,OFF-AR-10003056,Consumer,Office Supplies,Art,Newell 341,2,8.56,0,2.4824
20,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,West,United States,California,San Francisco,94109,TEC-PH-10001949,Consumer,Technology,Phones,Cisco SPA 501G IP Phone,3,213.48,0.2,16.011
21,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,West,United States,California,San Francisco,94109,OFF-BI-10002215,Consumer,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",4,22.72,0.2,7.384
